单位,中文名称,单位类型,补充说明,换算公式
caplet,胶囊片,药品剂型,计数单位，无法转换,基准单位
capsule,胶囊,药品剂型,计数单位，无法转换,基准单位
capsules,胶囊(复数),药品剂型,计数单位，无法转换,基准单位
carats,克拉,质量,简单转换,1 ct = 0.2 g
carton,纸箱,包装单位,计数单位，无法转换,基准单位
cartridge,墨盒,打印耗材,计数单位，无法转换,基准单位
case,箱,包装单位,计数单位，无法转换,基准单位
cayman_islands_dollar,开曼群岛元,货币,需要实时汇率，无法简单转换,无固定公式
cells,细胞,生物单位,计数单位，无法转换,基准单位
center_beam_candle_power,中心光束烛光,发光强度,简单转换,基准单位
centifarad,厘法,电容,简单转换,1 cF = 0.01 F
centiliters,厘升,体积,简单转换,1 cL = 0.01 L
centiliters_per_second,厘升/秒,流量,简单转换,1 cL/s = 0.01 L/s
centimeter_kilograms,厘米·千克,扭矩,简单转换,1 cm·kg = 0.0980665 N·m
centimeters,厘米,长度,简单转换,1 cm = 0.01 m
centimeters_mercury,厘米汞柱,压力,简单转换,1 cmHg = 1333.22 Pa
centimeters_per_second,厘米/秒,速度,简单转换,1 cm/s = 0.01 m/s
centimeters_per_second_squared,厘米/秒²,加速度,简单转换,1 cm/s² = 0.01 m/s²
centimeters_squared,平方厘米,面积,简单转换,1 cm² = 0.0001 m²
centimeters_water,厘米水柱,压力,简单转换,1 cmH₂O = 98.0638 Pa
centipoise,厘泊,粘度,简单转换,1 cP = 0.01 P = 0.001 Pa·s
centistokes,厘斯托克斯,运动粘度,简单转换,1 cSt = 0.01 St = 10⁻⁶ m²/s
central_african_cfa_franc,中非CFA法郎,货币,需要实时汇率，无法简单转换,无固定公式
cfp_franc,太平洋法郎,货币,需要实时汇率，无法简单转换,无固定公式
chapters,章节,计数单位,简单转换,基准单位
characters_per_inch,字符/英寸,打印密度,简单转换,基准单位
child_au,澳大利亚儿童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
child_mx,墨西哥儿童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
child_uk,英国儿童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
chilean_peso,智利比索,货币,需要实时汇率，无法简单转换,无固定公式
chinese_yuan,人民币,货币,需要实时汇率，无法简单转换,无固定公式
co,一氧化碳浓度,气体浓度,需要专业测量，无法简单转换,无固定公式
colombian_peso,哥伦比亚比索,货币,需要实时汇率，无法简单转换,无固定公式
comoro_franc,科摩罗法郎,货币,需要实时汇率，无法简单转换,无固定公式
congolese_franc,刚果法郎,货币,需要实时汇率，无法简单转换,无固定公式
consulting,咨询,服务单位,计数单位，无法转换,基准单位
convertible_mark,可兑换马克,货币,需要实时汇率，无法简单转换,无固定公式
costa_rican_colon,哥斯达黎加科朗,货币,需要实时汇率，无法简单转换,无固定公式
count,计数,计数单位,简单转换,基准单位
croatian_kuna,克罗地亚库纳,货币,需要实时汇率，无法简单转换,无固定公式
cttw,克拉总重量,珠宝重量,简单转换,基准单位
cuban_convertible_peso,古巴可兑换比索,货币,需要实时汇率，无法简单转换,无固定公式
cuban_peso,古巴比索,货币,需要实时汇率，无法简单转换,无固定公式
cubic_centimeters,立方厘米,体积,简单转换,1 cm³ = 0.001 L
cubic_centimeters_per_minute,立方厘米/分钟,流量,简单转换,1 cm³/min = 0.001 L/min
cubic_centimeters_per_second,立方厘米/秒,流量,简单转换,1 cm³/s = 0.001 L/s
cubic_feet,立方英尺,体积,简单转换,1 ft³ = 28.3168 L
cubic_feet_per_hour,立方英尺/小时,流量,简单转换,1 ft³/h = 0.00786579 L/s
cubic_feet_per_minute,立方英尺/分钟,流量,简单转换,1 CFM = 0.471947 L/s
cubic_feet_per_minute_per_watt,立方英尺/分钟·瓦特,冷却效率,简单转换,基准单位
cubic_feet_per_second,立方英尺/秒,流量,简单转换,1 ft³/s = 28.3168 L/s
cubic_inches,立方英寸,体积,简单转换,1 in³ = 16.3871 mL
cubic_inches_per_minute,立方英寸/分钟,流量,简单转换,1 in³/min = 0.273117 mL/s
cubic_meters,立方米,体积,简单转换,1 m³ = 1000 L
cubic_meters_per_hour,立方米/小时,流量,简单转换,1 m³/h = 0.277778 L/s
cubic_meters_per_minute,立方米/分钟,流量,简单转换,1 m³/min = 16.6667 L/s
cubic_meters_per_second,立方米/秒,流量,简单转换,1 m³/s = 1000 L/s
cubic_yards,立方码,体积,简单转换,1 yd³ = 0.764555 m³
cups,杯,体积,简单转换,1 US cup = 236.588 mL
cycles,周期,计数单位,简单转换,基准单位
cycles_per_gallon,周期/加仑,洗涤效率,需要具体测试，无法简单转换,无固定公式
cycles_per_liter,周期/升,洗涤效率,需要具体测试，无法简单转换,无固定公式
czech_koruna,捷克克朗,货币,需要实时汇率，无法简单转换,无固定公式
daltons,道尔顿,分子质量,简单转换,基准单位
danish_krone,丹麦克朗,货币,需要实时汇率，无法简单转换,无固定公式
days,天,时间,简单转换,1 day = 86400 s
decafarad,十法,电容,简单转换,1 daF = 10 F
decibel_volt_per_micro_bar,分贝伏特/微巴,声学灵敏度,需要专业标准，无法简单转换,无固定公式
decibel_volt_per_pascal,分贝伏特/帕斯卡,声学灵敏度,需要专业标准，无法简单转换,无固定公式
decibels,分贝,相对单位,对数单位，需要参考值,无固定公式
decifarad,分法,电容,简单转换,1 dF = 0.1 F
deciliters,分升,体积,简单转换,1 dL = 0.1 L
decimeters,分米,长度,简单转换,1 dm = 0.1 m
degrees,度,角度,简单转换,1° = π/180 rad ≈ 0.0174533 rad
degrees_balling,巴林度,糖度,需要专业测量，无法简单转换,无固定公式
degrees_baume,波美度,密度,需要专业测量，无法简单转换,无固定公式
degrees_brix,白利度,糖度,需要专业测量，无法简单转换,无固定公式
degrees_celsius,摄氏度,温度,简单转换但有特殊公式,°F = °C × 9/5 + 32, K = °C + 273.15
degrees_fahrenheit,华氏度,温度,简单转换但有特殊公式,°C = (°F - 32) × 5/9
degrees_ochsle,奥克斯勒度,葡萄汁密度,需要专业测量，无法简单转换,无固定公式
degrees_per_second,度/秒,角速度,简单转换,1 °/s = π/180 rad/s
degrees_per_second_squared,度/秒²,角加速度,简单转换,1 °/s² = π/180 rad/s²
deputy,副职,人员计数,计数单位，无法转换,基准单位
device,设备,计数单位,简单转换,基准单位
din,德国工业标准,标准规范,需要具体标准，无法转换,无固定公式
diopters,屈光度,光学度数,简单转换,1 D = 1 m⁻¹
disk,磁盘,存储介质,计数单位，无法转换,基准单位
djiboutian_franc,吉布提法郎,货币,需要实时汇率，无法简单转换,无固定公式
dominican_peso,多米尼加比索,货币,需要实时汇率，无法简单转换,无固定公式
dots,点,打印单位,计数单位，无法转换,基准单位
dots_per_centimetre,点/厘米,分辨率,简单转换,1 dpcm = 2.54 dpi
dots_per_inch,点/英寸,分辨率,简单转换,基准单位
drams,打兰,质量,简单转换,1 dr = 1.77185 g
drp_score,DRP阅读分数,教育评估,需要专业评估，无法简单转换,无固定公式
dwt,英钱,金衡质量,简单转换,1 dwt = 1.55517 g
dyne_centimeters,达因·厘米,扭矩,简单转换,1 dyn·cm = 10⁻⁷ N·m
east_caribbean_dollar,东加勒比元,货币,需要实时汇率，无法简单转换,无固定公式
egyptian_pound,埃及镑,货币,需要实时汇率，无法简单转换,无固定公式
emails,电子邮件,计数单位,简单转换,基准单位
eritrean_nakfa,厄立特里亚纳克法,货币,需要实时汇率，无法简单转换,无固定公式
ethiopian_birr,埃塞俄比亚比尔,货币,需要实时汇率，无法简单转换,无固定公式
euro,欧元,货币,需要实时汇率，无法简单转换,无固定公式
exabyte,艾字节,数据存储,简单转换,1 EB = 1024 PB = 1,152,921,504,606,846,976 bytes
exafarad,艾法,电容,简单转换,1 EF = 10¹⁸ F
exposure_value,曝光值,摄影,需要专业计算，无法简单转换,无固定公式
f_stop,光圈值,摄影,简单转换但对数关系,每档光圈面积减半
falkland_islands_pound,福克兰群岛镑,货币,需要实时汇率，无法简单转换,无固定公式
farad,法拉,电容,简单转换,基准单位
feet,英尺,长度,简单转换,1 ft = 0.3048 m
feet_per_minute,英尺/分钟,速度,简单转换,1 ft/min = 0.00508 m/s
feet_per_second,英尺/秒,速度,简单转换,1 ft/s = 0.3048 m/s
feet_per_second_squared,英尺/秒²,加速度,简单转换,1 ft/s² = 0.3048 m/s²
femtofarad,飞法,电容,简单转换,1 fF = 10⁻¹⁵ F
femtoseconds,飞秒,时间,简单转换,1 fs = 10⁻¹⁵ s
fiji_dollar,斐济元,货币,需要实时汇率，无法简单转换,无固定公式
film,胶片,摄影材料,计数单位，无法转换,基准单位
finnish_markka,芬兰马克,货币,已淘汰，需要历史汇率,无固定公式
fluid_ounces,液盎司,体积,简单转换,1 US fl oz = 29.5735 mL
food_bars,食品条,食品包装,计数单位，无法转换,基准单位
foot_ounces,英尺·盎司,扭矩,简单转换,1 ft·oz = 0.00706155 N·m
foot_pounds,英尺·磅,扭矩,简单转换,1 ft·lb = 1.35582 N·m
fr_school_grade,法国学校年级,教育等级,需要年龄对应表，无法简单转换,无固定公式
frames_per_second,帧/秒,帧率,简单转换,基准单位
french_francs,法国法郎,货币,已淘汰，需要历史汇率,无固定公式
gallons,加仑,体积,简单转换,1 US gallon = 3.78541 L
gallons_per_day,加仑/天,流量,简单转换,1 GPD = 0.0438126 L/h
gallons_per_flush,加仑/次冲洗,用水量,简单转换,基准单位
gallons_per_hour,加仑/小时,流量,简单转换,1 GPH = 0.0010515 L/s
gallons_per_minute,加仑/分钟,流量,简单转换,1 GPM = 0.0630902 L/s
gambian_dalasi,冈比亚达拉西,货币,需要实时汇率，无法简单转换,无固定公式
gauge,规,厚度单位,需要具体标准，无法简单转换,无固定公式
gb,吉字节,数据存储,简单转换,1 GB = 1024 MB = 1,073,741,824 bytes
georgian_lari,格鲁吉亚拉里,货币,需要实时汇率，无法简单转换,无固定公式
german_mark,德国马克,货币,已淘汰，需要历史汇率,无固定公式
ghanaian_cedi,加纳塞地,货币,需要实时汇率，无法简单转换,无固定公式
ghz,吉赫兹,频率,简单转换,1 GHz = 1000 MHz = 10⁹ Hz
gibraltar_pound,直布罗陀镑,货币,需要实时汇率，无法简单转换,无固定公式
giga_samples_per_second,吉采样点/秒,采样率,简单转换,1 GS/s = 10⁹ samples/s
gigabits_per_second,吉比特/秒,数据传输率,简单转换,1 Gbps = 1000 Mbps
gigabyte,吉字节,数据存储,简单转换,1 GB = 1024 MB
gigabytes_per_hour,吉字节/小时,数据传输率,简单转换,1 GB/h = 0.000277778 GB/s
gigabytes_per_second,吉字节/秒,数据传输率,简单转换,基准单位
gigafarad,吉法,电容,简单转换,1 GF = 10⁹ F
gigahertz,吉赫兹,频率,简单转换,1 GHz = 10⁹ Hz
gigaohms,吉欧,电阻,简单转换,1 GΩ = 10⁹ Ω
gigapascals,吉帕,压力,简单转换,1 GPa = 10⁹ Pa
girls_us,美国女童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
gram_meters,克·米,扭矩,简单转换,1 g·m = 0.00980665 N·m
grams,克,质量,简单转换,1 g = 0.001 kg
grams_per_100_kilometers,克/百公里,排放,简单转换,基准单位
grams_per_cubic_centimeter,克/立方厘米,密度,简单转换,1 g/cm³ = 1000 kg/m³
grams_per_kilometer,克/公里,排放,简单转换,1 g/km = 0.01 g/100km
grams_per_liter,克/升,浓度,简单转换,1 g/L = 0.001 kg/L
grams_per_mile,克/英里,排放,简单转换,1 g/mi = 0.621371 g/km
grams_per_milliliter,克/毫升,密度,简单转换,1 g/mL = 1000 kg/m³
grams_per_minute,克/分钟,质量流量,简单转换,1 g/min = 0.0000166667 kg/s
grams_per_square_meter,克/平方米,面密度,简单转换,基准单位
gravity,重力加速度,加速度,简单转换,1 g = 9.80665 m/s²
greek_drachma,希腊德拉克马,货币,已淘汰，需要历史汇率,无固定公式
gsm,克/平方米,面密度,简单转换,同 grams_per_square_meter
guatemalan_quetzal,危地马拉格查尔,货币,需要实时汇率，无法简单转换,无固定公式
guinean_franc,几内亚法郎,货币,需要实时汇率，无法简单转换,无固定公式
gum,口香糖,食品,计数单位，无法转换,基准单位
guyanese_dollar,圭亚那元,货币,需要实时汇率，无法简单转换,无固定公式
haitian_gourde,海地古德,货币,需要实时汇率，无法简单转换,无固定公式
hectofarad,百法,电容,简单转换,1 hF = 100 F
hectopascal,百帕,压力,简单转换,1 hPa = 100 Pa
henry,亨利,电感,简单转换,基准单位
hertz,赫兹,频率,简单转换,基准单位
honduran_lempira,洪都拉斯伦皮拉,货币,需要实时汇率，无法简单转换,无固定公式
hong_kong_dollar,港元,货币,需要实时汇率，无法简单转换,无固定公式
horsepower,马力,功率,简单转换,1 hp = 745.7 W
hour,小时,时间,简单转换,1 h = 3600 s
hours,小时,时间,简单转换,1 h = 3600 s
hours_per_gallon,小时/加仑,能耗效率,需要具体测试，无法简单转换,无固定公式
hours_per_liter,小时/升,能耗效率,需要具体测试，无法简单转换,无固定公式
hsl,HSL颜色空间,颜色模型,需要专业计算，无法简单转换,无固定公式
hsv,HSV颜色空间,颜色模型,需要专业计算，无法简单转换,无固定公式
hundredths_inches,百分之一英寸,长度,简单转换,0.01 in = 0.254 mm
hundredths_pounds,百分之一磅,质量,简单转换,0.01 lb = 4.53592 g
hungarian_forint,匈牙利福林,货币,需要实时汇率，无法简单转换,无固定公式
icelandic_krona,冰岛克朗,货币,需要实时汇率，无法简单转换,无固定公式
images_per_minute,图像/分钟,扫描速度,简单转换,基准单位
imperial_gallons,英制加仑,体积,简单转换,1 imperial gallon = 4.54609 L
implant,植入物,医疗器械,计数单位，无法转换,基准单位
inch_ounces,英寸·盎司,扭矩,简单转换,1 in·oz = 0.00706155 N·m
inch_pounds,英寸·磅,扭矩,简单转换,1 in·lb = 0.112985 N·m
inches,英寸,长度,简单转换,1 in = 0.0254 m
inches_mercury,英寸汞柱,压力,简单转换,1 inHg = 3386.39 Pa
inches_per_inches_degrees_fahrenheit,英寸/英寸·华氏度,热膨胀系数,简单转换,基准单位
inches_per_second,英寸/秒,速度,简单转换,1 in/s = 0.0254 m/s
inches_per_second_squared,英寸/秒²,加速度,简单转换,1 in/s² = 0.0254 m/s²
inches_squared,平方英寸,面积,简单转换,1 in² = 0.00064516 m²
inches_water,英寸水柱,压力,简单转换,1 inH₂O = 249.089 Pa
indian_rupee,印度卢比,货币,需要实时汇率，无法简单转换,无固定公式
indonesian_rupiah,印尼盾,货币,需要实时汇率，无法简单转换,无固定公式
infant_uk,英国婴儿尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
infant_us,美国婴儿尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
inhaler,吸入器,医疗器械,计数单位，无法转换,基准单位
input_output_operations_per_second,输入输出操作/秒,计算机性能,简单转换,基准单位
insert,插入物,医疗器械,计数单位，无法转换,基准单位
international_units,国际单位,生物活性,需要具体物质标准，无法简单转换,无固定公式
iranian_rial,伊朗里亚尔,货币,需要实时汇率，无法简单转换,无固定公式
iraqi_dinar,伊拉克第纳尔,货币,需要实时汇率，无法简单转换,无固定公式
irla_score,IRLA阅读分数,教育评估,需要专业评估，无法简单转换,无固定公式
iso,ISO感光度,摄影,简单转换但对数关系,每档ISO感光度加倍
israeli_new_shekel,以色列新谢克尔,货币,需要实时汇率，无法简单转换,无固定公式
italian_lira,意大利里拉,货币,已淘汰，需要历史汇率,无固定公式
jamaican_dollar,牙买加元,货币,需要实时汇率，无法简单转换,无固定公式
japanese_yen,日元,货币,需要实时汇率，无法简单转换,无固定公式
jordanian_dinar,约旦第纳尔,货币,需要实时汇率，无法简单转换,无固定公式
joules,焦耳,能量,简单转换,基准单位
juniors_us,美国青少年尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
kazakhstani_tenge,哈萨克斯坦坚戈,货币,需要实时汇率，无法简单转换,无固定公式
kb,千字节,数据存储,简单转换,1 KB = 1024 bytes
kbaud,千波特,数据传输率,简单转换,1 kbaud = 1000 baud
kelvin,开尔文,温度,简单转换但有特殊公式,K = °C + 273.15
kenyan_shilling,肯尼亚先令,货币,需要实时汇率，无法简单转换,无固定公式
khz,千赫兹,频率,简单转换,1 kHz = 1000 Hz
kilo_samples_per_second,千采样点/秒,采样率,简单转换,1 kS/s = 1000 samples/s
kiloamps,千安,电流,简单转换,1 kA = 1000 A
kilobits_per_second,千比特/秒,数据传输率,简单转换,1 kbps = 1000 bps
kilobyte,千字节,数据存储,简单转换,1 KB = 1024 bytes
kilobytes_per_second,千字节/秒,数据传输率,简单转换,1 KB/s = 8 kbps
kilocalories,千卡,能量,简单转换,1 kcal = 4184 J
kilodaltons,千道尔顿,分子质量,简单转换,1 kDa = 1000 Da
kilofarad,千法,电容,简单转换,1 kF = 1000 F
kilogram_centimeters,千克·厘米,扭矩,简单转换,1 kg·cm = 0.0980665 N·m
kilogram_force_meter,千克力·米,扭矩,简单转换,1 kgf·m = 9.80665 N·m
kilogram_meters,千克·米,扭矩,简单转换,1 kg·m = 9.80665 N·m
kilograms,千克,质量,简单转换,基准单位
kilograms_per_100_kilometers,千克/百公里,排放,简单转换,1 kg/100km = 1000 g/100km
kilograms_per_cubic_meter,千克/立方米,密度,简单转换,基准单位
kilograms_per_liter,千克/升,密度,简单转换,1 kg/L = 1000 kg/m³
kilograms_per_millimeter,千克/毫米,线密度,简单转换,1 kg/mm = 1000 kg/m
kilograms_per_square_centimeter,千克/平方厘米,压力,简单转换,1 kg/cm² = 98066.5 Pa
kilohenry,千亨,电感,简单转换,1 kH = 1000 H
kilohertz,千赫兹,频率,简单转换,1 kHz = 1000 Hz
kilojoules,千焦,能量,简单转换,1 kJ = 1000 J
kilometer,千米,长度,简单转换,1 km = 1000 m
kilometers,千米,长度,简单转换,1 km = 1000 m
kilometers_per_hour,公里/小时,速度,简单转换,1 km/h = 0.277778 m/s
kilonewton_meters,千牛·米,扭矩,简单转换,1 kN·m = 1000 N·m
kilonewtons,千牛,力,简单转换,1 kN = 1000 N
kiloohms,千欧,电阻,简单转换,1 kΩ = 1000 Ω
kilopascal,千帕,压力,简单转换,1 kPa = 1000 Pa
kilopixel,千像素,数字图像,简单转换,1 kpx = 1000 pixels
kilovolts,千伏,电压,简单转换,1 kV = 1000 V
kilowatt_hour_per_kilometre,千瓦时/公里,能耗,简单转换,基准单位
kilowatt_hour_per_mile,千瓦时/英里,能耗,简单转换,1 kWh/mi = 0.621371 kWh/km
kilowatt_hours,千瓦时,能量,简单转换,1 kWh = 3600000 J
kilowatt_hours_per_100_cycles,千瓦时/100次循环,能耗效率,简单转换,基准单位
kilowatt_hours_per_1000_hours,千瓦时/1000小时,能耗效率,简单转换,基准单位
kilowatt_hours_per_year,千瓦时/年,能耗,简单转换,基准单位
kilowatts,千瓦,功率,简单转换,1 kW = 1000 W
kips_per_square_inch,千磅力/平方英寸,压力,简单转换,1 ksi = 6894757 Pa
kit,工具包,产品包装,计数单位，无法转换,基准单位
knoop,努氏硬度,材料硬度,需要专业测试数据，无法简单转换,无固定公式
kuwaiti_dinar,科威特第纳尔,货币,需要实时汇率，无法简单转换,无固定公式
kyrgyzstani_som,吉尔吉斯斯坦索姆,货币,需要实时汇率，无法简单转换,无固定公式
lancet,采血针,医疗器械,计数单位，无法转换,基准单位
lao_kip,老挝基普,货币,需要实时汇率，无法简单转换,无固定公式
latvian_lats,拉脱维亚拉特,货币,已淘汰，需要历史汇率,无固定公式
layers,层,计数单位,简单转换,基准单位
lbs,磅,质量,简单转换,1 lb = 0.45359237 kg
lebanese_pound,黎巴嫩镑,货币,需要实时汇率，无法简单转换,无固定公式
lesotho_loti,莱索托洛蒂,货币,需要实时汇率，无法简单转换,无固定公式
levels,等级,计数单位,简单转换,基准单位
lexile,蓝思等级,教育评估,需要专业评估，无法简单转换,无固定公式
lexile_code,蓝思代码,教育评估,需要专业评估，无法简单转换,无固定公式
lexile_number,蓝思数值,教育评估,需要专业评估，无法简单转换,无固定公式
liberian_dollar,利比里亚元,货币,需要实时汇率，无法简单转换,无固定公式
libyan_dinar,利比亚第纳尔,货币,需要实时汇率，无法简单转换,无固定公式
lines,行,计数单位,简单转换,基准单位
lines_per_inch,行/英寸,打印密度,简单转换,基准单位
links_per_foot,链/英尺,机械连接,简单转换,基准单位
links_per_inch,链/英寸,机械连接,简单转换,基准单位
liters,升,体积,简单转换,基准单位
liters_per_100_kilometers,升/百公里,油耗,简单转换,基准单位
liters_per_day,升/天,流量,简单转换,1 L/d = 0.0416667 L/h
liters_per_flush,升/次冲洗,用水量,简单转换,基准单位
liters_per_hour,升/小时,流量,简单转换,1 L/h = 0.000277778 L/s
liters_per_minute,升/分钟,流量,简单转换,1 L/min = 0.0166667 L/s
liters_per_second,升/秒,流量,简单转换,基准单位
liters_per_year,升/年,流量,简单转换,基准单位
lithuanian_litas,立陶宛立特,货币,已淘汰，需要历史汇率,无固定公式
little_boys_us,美国小男童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
little_child_us,美国小童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
little_girls_us,美国小女童尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
load,负载,计数单位,简单转换,基准单位
lozenge,锭剂,药品剂型,计数单位，无法转换,基准单位
lumen,流明,光通量,简单转换,基准单位
lumens,流明,光通量,简单转换,基准单位
lux,勒克斯,照度,简单转换,1 lx = 1 lm/m²
luxembourg_franc,卢森堡法郎,货币,已淘汰，需要历史汇率,无固定公式
macanese_pataca,澳门币,货币,需要实时汇率，无法简单转换,无固定公式
macedonian_denar,马其顿代纳尔,货币,需要实时汇率，无法简单转换,无固定公式
malagasy_ariary,马达加斯加阿里亚里,货币,需要实时汇率，无法简单转换,无固定公式
malawian_kwacha,马拉维克瓦查,货币,需要实时汇率，无法简单转换,无固定公式
malaysian_ringgit,马来西亚令吉,货币,需要实时汇率，无法简单转换,无固定公式
